Idfromrun,Location,RealID,Primer,Type
1,A1,1.T0,Leray,sample
2,A2,1.T1,Leray,sample
3,A3,1.T2,Leray,sample
4,A4,1.T3,Leray,sample
5,A5,1.T4,Leray,sample
6,A6,1.T5,Leray,sample
7,A7,1.T6,Leray,sample
8,A8,1.T7,Leray,sample
9,A9,1.T8,Leray,sample
10,A10,1.T9,Leray,sample
11,A11,C1,Leray,control1
12,A12,C9,Leray,control1
13,B1,2.T0,Leray,sample
14,B2,2.T1,Leray,sample
15,B3,2.T2,Leray,sample
16,B4,2.T3,Leray,sample
17,B5,2.T4,Leray,sample
18,B6,2.T5,Leray,sample
19,B7,2.T6,Leray,sample
20,B8,2.T7,Leray,sample
21,B9,2.T8,Leray,sample
22,B10,2.T9,Leray,sample
23,B11,C2,Leray,control1
24,B12,C10,Leray,control1
25,C1,3.T0,Leray,sample
26,C2,3.T1,Leray,sample
27,C3,3.T2,Leray,sample
28,C4,3.T3,Leray,sample
29,C5,3.T4,Leray,sample
30,C6,3.T5,Leray,sample
31,C7,3.T6,Leray,sample
32,C8,3.T7,Leray,sample
33,C9,3.T8,Leray,sample
34,C10,3.T9,Leray,sample
35,C11,C3,Leray,control1
36,C12,C11,Leray,control2
37,D1,4.T0,Leray,sample
38,D2,4.T1,Leray,sample
39,D3,4.T2,Leray,sample
40,D4,4.T3,Leray,sample
41,D5,4.T4,Leray,sample
42,D6,4.T5,Leray,sample
43,D7,4.T6,Leray,sample
44,D8,4.T7,Leray,sample
45,D9,4.T8,Leray,sample
46,D10,4.T9,Leray,sample
47,D11,C4,Leray,control1
48,D12,C12,Leray,control2
49,E1,5.T0,Leray,sample
50,E2,5.T1,Leray,sample
51,E3,5.T2,Leray,sample
52,E4,5.T3,Leray,sample
53,E5,5.T4,Leray,sample
54,E6,5.T5,Leray,sample
55,E7,5.T6,Leray,sample
56,E8,5.T7,Leray,sample
57,E9,5.T8,Leray,sample
58,E10,5.T9,Leray,sample
59,E11,C5,Leray,control1
60,E12,C13,Leray,control1
61,F1,6.T0,Leray,sample
62,F2,6.T1,Leray,sample
63,F3,6.T2,Leray,sample
64,F4,6.T3,Leray,sample
65,F5,6.T4,Leray,sample
66,F6,6.T5,Leray,sample
67,F7,6.T6,Leray,sample
68,F8,6.T7,Leray,sample
69,F9,6.T8,Leray,sample
70,F10,6.T9,Leray,sample
71,F11,C6,Leray,control1
72,F12,C15,Leray,control2
73,G1,7.T0,Leray,sample
74,G2,7.T1,Leray,sample
75,G3,7.T2,Leray,sample
76,G4,7.T3,Leray,sample
77,G5,7.T4,Leray,sample
78,G6,7.T5,Leray,sample
79,G7,7.T6,Leray,sample
80,G8,7.T7,Leray,sample
81,G9,7.T8,Leray,sample
82,G10,7.T9,Leray,sample
83,G11,C7,Leray,control1
84,G12,C16,Leray,control2
85,H1,8.T0,Leray,sample
86,H2,8.T1,Leray,sample
87,H3,8.T2,Leray,sample
88,H4,C14,Leray,control2
89,H5,8.T4,Leray,sample
90,H6,8.T5,Leray,sample
91,H7,8.T6,Leray,sample
92,H8,8.T7,Leray,sample
93,H9,8.T8,Leray,sample
94,H10,8.T9,Leray,sample
95,H11,C8,Leray,control1
96,H12,EMPTY,Leray,control2